Aaron BROWN, carrera 100 m, Torneo de Jordan, 1, 9764.0
Aaron BROWN, carrera 100 m, Torneo de Micronesia, 1, 10726.0
Aaron BROWN, carrera 200 m, Torneo de Greece, 1, 19503.0
Aaron BROWN, carrera 200 m, Torneo de Morocco, 1, 21448.0
Ababel YESHANEH, carrera 42000 m, Torneo de Albania, 1, 7304941.0
Ababel YESHANEH, carrera 42000 m, Torneo de Lithuania, 1, 8030474.0
Abadi HADIS, carrera 10000 m, Torneo de Belgium, 1, 1608999.0
Abadi HADIS, carrera 10000 m, Torneo de South Sudan, 1, 1767320.0
Abadi HADIS, carrera 21000 m, Torneo de Kazakhstan, 1, 3481565.0
Abadi HADIS, carrera 21000 m, Torneo de Moldova, 1, 3828537.0
Abadi HADIS, carrera 5000 m, Torneo de Estonia, 1, 772645.0
Abadi HADIS, carrera 5000 m, Torneo de Lithuania, 1, 849157.0
Abdallah Kibet MANDE, carrera 10000 m, Torneo de Luxembourg, 1, 1608063.0
Abdallah Kibet MANDE, carrera 10000 m, Torneo de Netherlands, 1, 1768314.0
Abdelaati IGUIDER, carrera 1500 m, Torneo de Papua New Guinea, 1, 208795.0
Abdelaati IGUIDER, carrera 1500 m, Torneo de Wales, 1, 229640.0
Abdelmalik LAHOULOU, carrera 400 m con vallas, Torneo de Chile, 1, 46099.0
Abdelmalik LAHOULOU, carrera 400 m con vallas, Torneo de Lithuania, 1, 50702.0
Abderrahman SAMBA, carrera 400 m, Torneo de Estonia, 1, 43477.0
Abderrahman SAMBA, carrera 400 m, Torneo de Taiwan, 1, 47769.0
Abderrahman SAMBA, carrera 400 m con vallas, Torneo de Tuvalu, 1, 46102.0
Abderrahman SAMBA, carrera 400 m con vallas, Torneo de Antigua and Barbuda, 1, 50676.0
Abdul Hakim SANI BROWN, carrera 100 m, Torneo de Mali, 1, 9763.0
Abdul Hakim SANI BROWN, carrera 100 m, Torneo de Equatorial Guinea, 1, 10731.0
Abdul Hakim SANI BROWN, carrera 200 m, Torneo de United Arab Emirates, 1, 19515.0
Abdul Hakim SANI BROWN, carrera 200 m, Torneo de Sweden, 1, 21450.0
Abebe Negewo DEGEFA, carrera 42000 m, Torneo de Congo Republic of the, 1, 7311718.0
Abebe Negewo DEGEFA, carrera 42000 m, Torneo de Andorra, 1, 8030767.0
Abigail IROZURU, salto largo, Torneo de Uruguay, 9, 955.0
Abigail IROZURU, salto largo, Torneo de Argentina, 8, 869.0
Abraham KIBIWOT, carrera 3000 m con vallas, Torneo de Marshall Islands, 1, 481060.0
Abraham KIBIWOT, carrera 3000 m con vallas, Torneo de Paraguay, 1, 528923.0
Abubaker Haydar ABDALLA, carrera 800 m, Torneo de Yemen, 1, 101895.0
Abubaker Haydar ABDALLA, carrera 800 m, Torneo de Colombia, 1, 112075.0
Adam GEMILI, carrera 200 m, Torneo de Monaco, 1, 19509.0
Adam GEMILI, carrera 200 m, Torneo de Congo Republic of the, 1, 21406.0
Agnes Jebet TIROP, carrera 10000 m, Torneo de Russia, 1, 1608740.0
Agnes Jebet TIROP, carrera 10000 m, Torneo de Iran, 1, 1768146.0
Agnes Jebet TIROP, carrera 5000 m, Torneo de Maldives, 1, 772162.0
Agnes Jebet TIROP, carrera 5000 m, Torneo de Mongolia, 1, 849293.0
Ajee WILSON, carrera 800 m, Torneo de Angola, 1, 101983.0
Ajee WILSON, carrera 800 m, Torneo de Japan, 1, 112078.0
Akani SIMBINE, carrera 100 m, Torneo de Palau, 1, 9765.0
Akani SIMBINE, carrera 100 m, Torneo de Mali, 1, 10736.0
Akeem BLOOMFIELD, carrera 400 m, Torneo de Burkina Faso, 1, 43476.0
Akeem BLOOMFIELD, carrera 400 m, Torneo de Malaysia, 1, 47760.0
Albert CHEMUTAI, carrera 3000 m con vallas, Torneo de Armenia, 1, 481195.0
Albert CHEMUTAI, carrera 3000 m con vallas, Torneo de Ukraine, 1, 529086.0
Aleia HOBBS, carrera 100 m, Torneo de Namibia, 1, 9760.0
Aleia HOBBS, carrera 100 m, Torneo de Haiti, 1, 10736.0
Alemu MEGERTU, carrera 21000 m, Torneo de Puerto Rico, 1, 3482593.0
Alemu MEGERTU, carrera 21000 m, Torneo de Scotland, 1, 3826947.0
Alex QUIÑÓNEZ, carrera 200 m, Torneo de Lebanon, 1, 19514.0
Alex QUIÑÓNEZ, carrera 200 m, Torneo de Solomon Islands, 1, 21446.0
Alex ROSE, lanzamiento de disco, Torneo de Peru, 10, 7904.0
Alex ROSE, lanzamiento de disco, Torneo de Burkina Faso, 9, 7186.0
Alex WILSON, carrera 200 m, Torneo de Venezuela, 1, 19515.0
Alex WILSON, carrera 200 m, Torneo de Jamaica, 1, 21422.0
Alexandra TAVERNIER, lanzamiento de martillo, Torneo de Russia, 9, 8990.0
Alexandra TAVERNIER, lanzamiento de martillo, Torneo de Lebanon, 9, 8179.0
Alexie ALAÏS, lanzamiento de jabalina, Torneo de Tunisia, 4, 9965.0
Alexie ALAÏS, lanzamiento de jabalina, Torneo de North Korea, 8, 9063.0
Alexis COPELLO, salto triple, Torneo de Senegal, 8, 1995.0
Alexis COPELLO, salto triple, Torneo de Congo Democratic Republic of the, 7, 1815.0
Alexsandro MELO, salto triple, Torneo de South Korea, 4, 1995.0
Alexsandro MELO, salto triple, Torneo de Niger, 8, 1814.0
Alfred KIPKETER, carrera 800 m, Torneo de Argentina, 1, 101945.0
Alfred KIPKETER, carrera 800 m, Torneo de Philippines, 1, 112066.0
Alin Alexandru FIRFIRICA, lanzamiento de disco, Torneo de Chad, 3, 7905.0
Alin Alexandru FIRFIRICA, lanzamiento de disco, Torneo de Myanmar, 3, 7187.0
Alina ROTARU, salto largo, Torneo de Sierra Leone, 8, 956.0
Alina ROTARU, salto largo, Torneo de Bahamas, 2, 870.0
Aliona DUBITSKAYA, lanzamiento de bala, Torneo de South Sudan, 4, 2513.0
Aliona DUBITSKAYA, lanzamiento de bala, Torneo de Brazil, 10, 2291.0
Alison DOS SANTOS, carrera 400 m con vallas, Torneo de Mexico, 1, 46095.0
Alison DOS SANTOS, carrera 400 m con vallas, Torneo de Wales, 1, 50689.0
Almir DOS SANTOS, salto triple, Torneo de Namibia, 1, 1994.0
Almir DOS SANTOS, salto triple, Torneo de Haiti, 10, 1814.0
Alyona GORDEYEVA, lanzamiento de bala, Torneo de Scotland, 8, 2521.0
Alyona GORDEYEVA, lanzamiento de bala, Torneo de Bhutan, 6, 2292.0
Alysha NEWMAN, salto con pertiga, Torneo de Kenya, 3, 667.0
Alysha NEWMAN, salto con pertiga, Torneo de Comoros, 9, 606.0
Amalie IUEL, carrera 400 m con vallas, Torneo de Serbia, 1, 46104.0
Amalie IUEL, carrera 400 m con vallas, Torneo de Germany, 1, 50693.0
Amel TUKA, carrera 800 m, Torneo de Guinea, 1, 101946.0
Amel TUKA, carrera 800 m, Torneo de Spain, 1, 112071.0
Amere LATTIN, carrera 400 m con vallas, Torneo de Mexico, 1, 46115.0
Amere LATTIN, carrera 400 m con vallas, Torneo de Chile, 1, 50682.0
Aminat JAMAL, carrera 400 m con vallas, Torneo de Haiti, 1, 46108.0
Aminat JAMAL, carrera 400 m con vallas, Torneo de Botswana, 1, 50698.0
Aminatou SEYNI, carrera 400 m, Torneo de Niger, 1, 43484.0
Aminatou SEYNI, carrera 400 m, Torneo de Guatemala, 1, 47772.0
Amy HUNT, carrera 200 m, Torneo de Greece, 1, 19501.0
Amy HUNT, carrera 200 m, Torneo de Netherlands, 1, 21438.0
Ana PELETEIRO, salto triple, Torneo de United Kingdom, 2, 1996.0
Ana PELETEIRO, salto triple, Torneo de French Guiana, 1, 1814.0
Ana ŠIMIĆ, salto de altura, Torneo de Nicaragua, 6, 261.0
Ana ŠIMIĆ, salto de altura, Torneo de Albania, 3, 237.0
Anastasia LE-ROY, carrera 400 m, Torneo de Monaco, 1, 43462.0
Anastasia LE-ROY, carrera 400 m, Torneo de Czechia, 1, 47792.0
Andamlak BELIHU, carrera 10000 m, Torneo de Mexico, 1, 1608408.0
Andamlak BELIHU, carrera 10000 m, Torneo de New Zealand, 1, 1767554.0
Andamlak BELIHU, carrera 21000 m, Torneo de Ghana, 1, 3482665.0
Andamlak BELIHU, carrera 21000 m, Torneo de Myanmar, 1, 3827938.0
Anderson PETERS, lanzamiento de jabalina, Torneo de Liechtenstein, 8, 9966.0
Anderson PETERS, lanzamiento de jabalina, Torneo de Colombia, 5, 9061.0
Andre DE GRASSE, carrera 100 m, Torneo de Ecuador, 1, 9767.0
Andre DE GRASSE, carrera 100 m, Torneo de United States, 1, 10731.0
Andre DE GRASSE, carrera 200 m, Torneo de Kenya, 1, 19508.0
Andre DE GRASSE, carrera 200 m, Torneo de Brunei, 1, 21450.0
Andrea Carolina VARGAS, carrera 110 m con vallas, Torneo de Germany, 1, 12105.0
Andrea Carolina VARGAS, carrera 110 m con vallas, Torneo de Saint Lucia, 1, 13295.0
Andreas HOFMANN, lanzamiento de jabalina, Torneo de Serbia, 5, 9964.0
Andreas HOFMANN, lanzamiento de jabalina, Torneo de Russia, 1, 9067.0
Andressa DE MORAIS, lanzamiento de disco, Torneo de Belarus, 7, 7895.0
Andressa DE MORAIS, lanzamiento de disco, Torneo de Ireland, 6, 7186.0
Andrew BAYER, carrera 3000 m con vallas, Torneo de New Zealand, 1, 481036.0
Andrew BAYER, carrera 3000 m con vallas, Torneo de Canada, 1, 529061.0
Andrew HUDSON, carrera 200 m, Torneo de Saudi Arabia, 1, 19506.0
Andrew HUDSON, carrera 200 m, Torneo de Liechtenstein, 1, 21433.0
Andrew IRWIN, salto con pertiga, Torneo de Puerto Rico, 1, 667.0
Andrew IRWIN, salto con pertiga, Torneo de Andorra, 5, 606.0
Andrew POZZI, carrera 110 m con vallas, Torneo de Nauru, 1, 12104.0
Andrew POZZI, carrera 110 m con vallas, Torneo de Ivory Coast, 1, 13306.0
Andrew RILEY, carrera 110 m con vallas, Torneo de Dominica, 1, 12100.0
Andrew RILEY, carrera 110 m con vallas, Torneo de Ecuador, 1, 13304.0
Andrius GUDŽIUS, lanzamiento de disco, Torneo de Israel, 4, 7904.0
Andrius GUDŽIUS, lanzamiento de disco, Torneo de Sao Tome and Principe, 3, 7192.0
Andriy PROTSENKO, salto de altura, Torneo de Uganda, 9, 261.0
Andriy PROTSENKO, salto de altura, Torneo de Cameroon, 8, 237.0
Andwuelle WRIGHT, salto largo, Torneo de Ukraine, 2, 956.0
Andwuelle WRIGHT, salto largo, Torneo de Kazakhstan, 2, 869.0
Andy DÍAZ, salto triple, Torneo de Luxembourg, 4, 1995.0
Andy DÍAZ, salto triple, Torneo de Niger, 9, 1815.0
Angelica BENGTSSON, salto con pertiga, Torneo de Tonga, 1, 667.0
Angelica BENGTSSON, salto con pertiga, Torneo de Angola, 7, 606.0
Anglerne ANNELUS, carrera 200 m, Torneo de Nepal, 1, 19506.0
Anglerne ANNELUS, carrera 200 m, Torneo de Dominican Republic, 1, 21433.0
Anita MÁRTON, lanzamiento de bala, Torneo de Honduras, 9, 2521.0
Anita MÁRTON, lanzamiento de bala, Torneo de Dominica, 5, 2291.0
Anita WŁODARCZYK, lanzamiento de martillo, Torneo de Sudan, 4, 8990.0
Anita WŁODARCZYK, lanzamiento de martillo, Torneo de Vanuatu, 1, 8175.0
Anna AVDEYEVA, lanzamiento de bala, Torneo de Luxembourg, 6, 2518.0
Anna AVDEYEVA, lanzamiento de bala, Torneo de Kiribati, 3, 2293.0
Anna CHICHEROVA, salto de altura, Torneo de Denmark, 8, 261.0
Anna CHICHEROVA, salto de altura, Torneo de Cambodia, 9, 237.0
Anna COCKRELL, carrera 110 m con vallas, Torneo de Tunisia, 1, 12098.0
Anna COCKRELL, carrera 110 m con vallas, Torneo de Uzbekistan, 1, 13301.0
Anna Emilie MØLLER, carrera 3000 m con vallas, Torneo de Barbados, 1, 481045.0
Anna Emilie MØLLER, carrera 3000 m con vallas, Torneo de Congo Republic of the, 1, 528968.0
Anna RYZHYKOVA, carrera 400 m con vallas, Torneo de Georgia, 1, 46101.0
Anna RYZHYKOVA, carrera 400 m con vallas, Torneo de Benin, 1, 50656.0
Annika Marie FUCHS, lanzamiento de jabalina, Torneo de Italy, 2, 9967.0
Annika Marie FUCHS, lanzamiento de jabalina, Torneo de Serbia, 1, 9064.0
Anthony José ZAMBRANO, carrera 400 m, Torneo de Brunei, 1, 43573.0
Anthony José ZAMBRANO, carrera 400 m, Torneo de Cuba, 1, 47777.0
Antonio ALKANA, carrera 110 m con vallas, Torneo de Romania, 1, 12099.0
Antonio ALKANA, carrera 110 m con vallas, Torneo de Papua New Guinea, 1, 13307.0
